Title,Price,Rating,Brand,RAM,Processor-Brand,Hard-Disk
Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 15.6 ...,32800,4.1,LENOVO,8GB,INTEL,512GB
"Dell 15 Thin & Light Laptop, Windows 11 Home, Inte...",44990,3.7,DELL,8GB,INTEL,512GB
"ASUS Vivobook 16"" FHD+ (1920 x 1200), 60Hz 300nits...",52990,4.3,ASUS,16GB,INTEL,512GB
(Refurbished) Dell Latitude E7470 6th Gen Intel Co...,15999,1.0,DELL,8GB,INTEL,256GB
"ASUS Vivobook 15 Thin and Light Laptop, Intel Core...",48990,3.8,ASUS,16GB,INTEL,512GB
"HP Pavilion, 12th Gen Intel Core i5-1235U, 16GB DD...",59990,4.0,HP,16GB,INTEL,512GB
Lenovo IdeaPad 3 12th Gen Intel Core i3-1215U 14 I...,35190,4.0,LENOVO,8GB,INTEL,512GB
"HP Pavilion 14, 12th Gen Intel Core i7-1255U, 16GB...",77930,4.0,HP,16GB,INTEL,1TB
Lenovo IdeaPad Slim 3 13th Gen Intel Core i7-13620...,65990,3.9,LENOVO,16GB,INTEL,512GB
Lenovo IdeaPad Slim 3 13th Gen Intel Core i7-13620...,65290,4.0,LENOVO,16GB,INTEL,512GB
"HP Laptop 240 G9 (2024), Intel Core i7 12th Gen 12...",61949,4.5,HP,16GB,INTEL,512GB
"HP 15, 13th Gen Intel Core i3-1315U, 8GB DDR4, 512...",40485,4.1,HP,8GB,INTEL,512GB
"HP 15, 13th Gen Intel Core i5-1334U, 8GB DDR4, 512...",52990,4.1,HP,8GB,INTEL,512GB
Acer One 11 Intel Celeron N4500 (Windows 11 Home/ ...,18990,3.2,ACER,8GB,INTEL,256GB
(Refurbished) Dell Latitude E7470 6th Gen Intel Co...,14499,2.5,DELL,8GB,INTEL,256GB
"Lenovo LOQ 2024 AMD Ryzen 5 7235HS 15.6"" (39.6cm) ...",58990,3.3,LENOVO,12GB,AMD,512GB
Lenovo IdeaPad Slim 3 13th Gen Intel Core i7-13620...,65990,3.9,LENOVO,16GB,INTEL,512GB
(Refurbished) Lenovo ThinkPad T480 8th Gen Intel C...,19764,3.4,LENOVO,16GB,INTEL,512GB
Lenovo IdeaPad Slim 3 12th Gen Intel Core i5-12450...,53890,3.9,LENOVO,16GB,INTEL,512GB
"Lenovo IdeaPad Slim 1 Intel Core Celeron N4020 14""...",23990,3.3,LENOVO,8GB,INTEL,512GB
"Lenovo ThinkBook 14 Intel 13th Gen Core i3 14"" (35...",43990,4.0,LENOVO,8GB,INTEL,512GB
"Lenovo ThinkPad E16 Intel Core i3 13th Gen 16"" WUX...",49000,3.7,LENOVO,8GB,INTEL,512GB
"Lenovo V15 G4 (2024), AMD Ryzen 5 7520U Quad Core ...",31790,5.0,LENOVO,8GB,AMD,512GB
"Lenovo V15 Thin & Light Laptop, 15.6"" FHD Display,...",42990,5.0,LENOVO,16GB,INTEL,512GB
Acer One 11 Intel Celeron N4500 (Windows 11 Home/ ...,18990,3.2,ACER,8GB,INTEL,256GB
"HP Laptop 255 G9 (2024), AMD Athlon Silver 3050U -...",22600,4.0,HP,4GB,AMD,256GB
"Dell 14 Thin & Light Laptop, 13th Gen Intel Core i...",36990,3.9,DELL,8GB,INTEL,512GB
(Refurbished) Lenovo ThinkPad T480 8th Gen Intel C...,19764,3.4,LENOVO,16GB,INTEL,512GB
"ASUS Vivobook Go 14 (2023), AMD Ryzen 5 7520U, 14-...",35990,4.0,ASUS,8GB,AMD,512GB
"ASUS TUF Gaming A15, 15.6"" FHD 16:9 144Hz 250nits,...",59990,4.0,ASUS,16GB,AMD,512GB
Lenovo IdeaPad Slim 3 13th Gen Intel Core i7-13620...,65990,3.9,LENOVO,16GB,INTEL,512GB
"Lenovo IdeaPad Slim 1 Intel Core Celeron N4020 14""...",23990,3.3,LENOVO,8GB,INTEL,512GB
